EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Christmas Island NS	25/12/2016 12:00:00 AM	Christmas Island NS, December 25, 2016. Residents of Christmas Island were left without power on Christmas morning due to a strong windstorm that blew in early in the morning. There were 21 reported power outages in the region affecting 3,346 customers in total (approximately 10,038 individuals). Power outages were reported as early as 5 am, with more power outages occurring periodically throughout the day. Areas affected by the power outages included Beaver Cove, Barrachois, French Vale, Bramber, Digby, Port Hawkesbury, Lower Sackville, East River and Mill Cove. Wind warnings were in effect for Sydney Metro and Cape Bretton county. The strong winds brought rain resulting in some localized flooding. Debris from the wind accompanied by the rain created poor driving conditions throughout the province. Nearly all power was restored later in the evening.				0	0	25/12/2016 12:00:00 AM								10038	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Nova Scotia and Prince Edward Island	27/11/2016 12:00:00 AM	Nova Scotia and Prince Edward Island, November 27-29, 2016. An early winter storm hit the Maritime provinces affecting Nova Scotia and Prince Edward Island on November 27. The storm dumped 15 cm of snow on the mainland of Nova Scotia and produced strong winds in Cape Breton. A mix of messy weather consisting of freezing rain, ice and snow created dangerous driving conditions. In Nova Scotia, the Canso Causeway was closed to high-sided vehicles and Highway 104 was closed in certain sections due to poor visibility. One transport truck over turned on the Seal Island Bridge in Cape Breton due to strong wind gusts of up to 110 km/h. In Nova Scotia 11,200 customers (approximately 33,600 individuals) lost power, while in P.E.I 12,000 customers (approximately 36,000 individuals) were without power. In P.E.I power remained out for some residents until November 29.				0	0	29/11/2016 12:00:00 AM								69000	
Disaster	Natural	Meteorological - Hydrological	Flood	Red Earth First Nation SK	14/11/2016 12:00:00 AM	Red Earth First Nation SK, July 14-18, 2016. Heavy rain resulted in the flooding of the Carrot River in northern Saskatchewan. The community of Red Earth Cree Nation, located 75 kilometres east of Nipawin, declared a state of emergency and was forced to evacuate 576 residents. The majority of evacuees stayed in Saskatoon at the Henk Ruy’s Soccer Centre, while others stayed in hotels or with family. The communities of Carrot River and the rural municipalities of Moose Range and Arborfield also declared states of emergency but were less impacted by the flood.			576	0	0	18/11/2016 12:00:00 AM									
Disaster	Natural	Biological	Epidemic	Alberta and Saskatchewan	26/10/2016 12:00:00 AM	Alberta and Saskatchewan, October 26 to December 21, 2016. In late September, the United States Department of Agriculture (USDA) discovered a case of bovine tuberculosis (TB) found in a cow from Alberta. The USDA then contacted the Canadian Food Inspection Agency (CFIA) whom initiated an investigation into the outbreak. The investigation found that one herd of cattle in Alberta was infected with TB. The one infected herd was located on 18 separate properties. Within the infected herd there were six confirmed cases of TB, including the cow that was slaughtered in the United states. The infection resulted in the quarantine of approximately 26,000 cattle from approximately 50 different properties in both Alberta and Saskatchewan. As a precaution, approximately 10,000 cattle were destroyed in order to stop the spread of the infection. The infection significantly impacted farmers in Alberta and Saskatchewan. The federal government of Canada offered to pay up to $16.7 million for ranchers who suffered agricultural loses due to the TB outbreak.				16700000	780373.8	21/12/2016 12:00:00 AM	16700000								
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Seaforth Channel BC	13/10/2016 12:00:00 AM	Seaforth Channel BC, October 13, 2016. The articulated barge and tug, Nathan E. Stewart, ran aground near Bella Bella in the Seaforth Channel. The tug, which contained 215,000 litres of diesel, began taking on water resulting in the empty barge breaking free from the tug. The tug was partially submerged and two of its fuel tanks were breached causing fuel to leak into the waters off the coast of the Great Bear Rainforest. The barge and tug, which were owned by the U.S. company Kirby Offshore Marine, were travelling south from Alaska. On October 14, two aerial flights confirmed that the sheen had spread throughout the Gale passage. Protection and containment efforts consisted of absorbent booms that were deployed around the damaged tug and booming along the Gale Passage, which included the application of petroleum sorbent. A dive team partially repaired sections of the breached fuel tanks to reduce the leakage while workers attempted to pump out the remaining fuel inside. Clean up and salvage recovery efforts were hindered by bad weather. It was not until November 15 when the tug was finally lifted out of the water and taken to shore on a salvage barge. It is estimated that 108,000 litres of fuel and 2,240 litres of lubricants were spilled. Most impacted by the leak was the Heiltsuk First Nation who closed local clam fisheries due to environmental concerns.				0	0	13/10/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Coast and Lower Mainland British Columbia	12/10/2016 12:00:00 AM	South Coast and Lower Mainland British Columbia, October 12-16, 2016. The remnants of Super Typhoon Songda hit British Columbia’s southern coast with a trio of fall storms. The first storm occurred on October 12 and pounded the coast with heavy rain before moving across the Lower Mainland early the next day. The storm brought 80 to 100 mm of rain to Howe Sound and Metro Vancouver. In North Vancouver, the heavy rain poured hard enough to down a tree, which damaged one residents home and a vehicle. The second and third storms arrived on October 14 and 15, which brought more strong wind and heavy rain to the region. A wind warning was issued for Greater Victoria, where there were wind gusts of up to 90 km/h. Powerful winds downed trees and power lines knocking out power to 75,000 B.C. Hydro customers (approximately 225,000 individuals) across Vancouver Island and the Lower Mainland. A fallen tree struck and killed a 15 year old by near Clayton Heights. In total, during the course of the three storms, there were 250 downed trees in Vancouver and 202 mm of rain had accumulated in North Vancouver.	1			0	0	16/10/2016 12:00:00 AM								225000	
Disaster	Natural	Meteorological - Hydrological	Flood	Nova Scotia, Prince Edward Island and Newfoundland	09/10/2016 12:00:00 AM	Nova Scotia, Prince Edward Island and Newfoundland, October 9-13, 2016. Atlantic Canada was hit with heavy rain as a result of the remnants of Hurricane Matthew. Wind and heavy rainfall warnings were in affect from October 10 to 11 for northeastern Nova Scotia and Newfoundland. On October 10, 150 mm of rain fell on Newfoundland. The town of Burgeo alone received 120 mm of rain, which caused the closure of Highway 480. St-Alban’s declared a state of emergency due to various road closures including the Swanger’s Cove Bridge on route 361, which was reported to have been damaged and was deemed unusable by the Newfoundland Public Safety Regional Office. Road closures in St-Alban’s resulted in the isolation of numerous homes. In Nova Scotia, over 220 mm of rain was reported across the province. The J.A. Douglas McCurdy Sydney Airport was forced to close all runways. Cape Breton was hard hit by the heavy rain, which resulted in property damage to approximately 300 homes. Most severely impacted was Eskasoni First Nation where 100 homes were flooded and an undetermined number of people evacuated due to high water levels. On October 11, there were 16 states of emergency in Newfoundland where Bager and Gander received 131 mm and 124 mm of rain. While there no states of emergency declared in Nova Scotia, NS Power reported that approximately 130,000 customers (390,000 individuals) had experienced power outages. Prince Edward Island received 73 mm of rain, which left approximately 600 residents without power. Ferries in Nova Scotia and Newfoundland were closed due to eight-metre high waves caused by the storm. The Canadian Armed Forces assisted with sandbagging efforts as water levels continued to rise until October 12. It was not until October 13 when water levels began to drop in certain areas, however in Newfoundland water levels remained at a record high. Power was restored to all customers in Nova Scotia and Prince Edward Island by October 13.				30350000	1418224.3	13/10/2016 12:00:00 AM	30350000							390600	
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Coast and Lower Mainland British Columbia	06/10/2016 12:00:00 AM	South Coast and Lower Mainland British Columbia, October 6-8, 2016. Strong winds gusting up to 117 km/h battered eastern Vancouver Island, the Sunshine Coast and the Lower Mainland. On October 6, Vancouver reported wind gusts of 56 km/h, Victoria 36 km/h, and Sisters Island as well as Trail Island both recorded wind gusts of 117 km/h. Severe winds downed trees and power lines, which knocked out power to 100,000 B.C. Hydro customers (approximately 300,000 individuals). In eastern Victoria Island 29,000 people lost power over night. The most severely impacted area was Courtenay where 12,000 people were without power. At the peak of the storm, 45,000 people lost power throughout the province. By October 8, 13,000 people were still without power and strong winds continued to affect parts of the province.				0	0	08/10/2016 12:00:00 AM								300000	
Disaster	Natural	Meteorological - Hydrological	Flood	Windsor and Tecumseh ON	29/09/2016 12:00:00 AM	Windsor and Tecumsech ON, September 29, 2016. States of emergency were declared in Windsor and Tecumsech after the region was hit with intense storms that produced significant flooding. The Windsor Airport recorded 78 mm of rain within a 24-hour period, while another gauge in the city’s east end measured 106 mm and the town of Tecumsech received up to 190 mm. In both municipalities, the heavy rain resulted in hundreds of flooded basements. Cars were abandoned in flooded streets and many roads were closed.				0	0	29/09/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Wildfire	West Kelowna BC	21/08/2016 12:00:00 AM	West Kelowna BC, August 21-25, 2016. A wildfire broke out on the evening of August 21, near Bear Creek Provincial Park located north of West Kelowna. The Central Okanagan Regional District ordered an evacuation of 156 homes (approximately 468 individuals). In addition, campers from the Bear Creek Provincial Park were also evacuated. Firefighting crews quickly gained control of the blaze, which was 52 hectares in size and 60 per cent contained by August 22. Evacuation orders were lifted for 51 homes and campers were temporarily allowed into their campsites to remove possessions, vehicles and trailers on August 22. The wildfire was 100 per cent contained by January 25.			468	0	0	25/08/2016 12:00:00 AM									
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Winnipeg MB	04/08/2016 12:00:00 AM	Winnipeg MB, August 4, 2016. A natural gas leak in Winnipeg prompted the evacuation of approximately 200 people. The leak was caused by a contractor who accidently severed a gas line at a construction site in the intersection of Keewatin Street and Paramount Road. In total, 122 homes and two businesses were temporarily evacuated, but residents were allowed to return later that day.			200	0	0	04/08/2016 12:00:00 AM									
Disaster	Natural	Meteorological - Hydrological	Flood	Fort McMurray AB	30/07/2016 12:00:00 AM	Fort McMurray AB, July 30-31 2016. Only weeks after the devastating wildfire that swept through the Regional Municipality of Wood Buffalo, the city of Fort McMurray was struck by a flash flood, which caused damages to personal property as well as disrupted local traffic and recovery efforts. On July 31, Fort McMurray received up to 85 mm of rain, which caused significant damages to approximately 41 homes. The flood occurred at a time when Fort McMurray was undergoing recovery efforts in response to the May wildfires that caused the evacuation of the entire city. The flash flood also caused road closures and knocked out power to traffic lights.				0	0	31/07/2016 12:00:00 AM									
