,Area,Item,Element,Year,Months,Unit,Value
0,Austria,Apples,Producer Price (USD/tonne),2008,Annual value,USD,732.4
1,Austria,Apples,Producer Price (USD/tonne),2009,Annual value,USD,500.1
2,Austria,Apples,Producer Price (USD/tonne),2010,Annual value,USD,445.0
3,Austria,Apples,Producer Price (USD/tonne),2011,Annual value,USD,635.3
4,Austria,Apples,Producer Price (USD/tonne),2012,Annual value,USD,560.2
5,Austria,Apples,Producer Price (USD/tonne),2013,Annual value,USD,710.3
6,Austria,Apples,Producer Price (USD/tonne),2014,Annual value,USD,528.0
7,Austria,Apples,Producer Price (USD/tonne),2015,Annual value,USD,432.5
8,Austria,Apples,Producer Price (USD/tonne),2016,Annual value,USD,386.0
9,Austria,Apples,Producer Price (USD/tonne),2017,Annual value,USD,635.6
10,Austria,Apples,Producer Price (USD/tonne),2018,Annual value,USD,707.0
11,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,615.2
12,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,598.7
13,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,680.8
14,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,613.0
15,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,621.9
16,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,743.5
17,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,631.5
18,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,616.6
19,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,618.3
20,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,563.4
21,Austria,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,655.1
22,Austria,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2978.0
23,Austria,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,2790.9
24,Austria,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,2666.1
25,Austria,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,2865.1
26,Austria,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,2793.3
27,Austria,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,3117.5
28,Austria,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,3101.9
29,Austria,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,2343.5
